l1,l2,name,action,sku,link,note
Industrial Hose Couplings,Cam & Groove Couplings,Type DD 90 Degree Elbow Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Specialty Adapters & Couplings,Type AW Socket Weld Adapter Specialty Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Specialty Adapters & Couplings,Type DW Socket Weld Specialty Cam and Groove Coupling,already-imaged,IH-SPC-DW,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Specialty Adapters & Couplings,150# Flanged Type FA: Type FA ANSI Class 150 Flanged Specialty Adapter Fittings,already-imaged,IH-SPC-FA-150,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Specialty Adapters & Couplings,150# Flanged Type FC: Type FC ANSI Class 150 Flanged Couplers Stainless Steel,already-imaged,IH-SPC-FC-150,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Specialty Adapters & Couplings,Type DCL Lockable Dust Caps (SS/Brass),already-imaged,IH-SPC-DCL,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Specialty Adapters & Couplings,Type SA Male x Male Spool Adapter Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Specialty Adapters & Couplings,Spool Adapters: Type DD,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Specialty Adapters & Couplings,Reducer / Increaser: Type DA Female Coupler x Male Adapter Reducing Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Specialty Adapters & Couplings,Reducer / Increaser: Type AR Reducing A Male x Female NPT Specialty Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Specialty Adapters & Couplings,Reducer / Increaser: Reducing B Female Coupler x Male NPT Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Specialty Adapters & Couplings,Reducer / Increaser: Type BLN Longneck Female x Male NPT Specialty Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Specialty Adapters & Couplings,Reducer / Increaser: Type CR Female Coupler x Shank Reducing C Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Specialty Adapters & Couplings,Reducer / Increaser: Type DR Female Coupler x Female NPT Reducing D Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Specialty Adapters & Couplings,Reducer / Increaser: Type ER Male Adapter x Shank Reducing E Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Specialty Adapters & Couplings,Reducer / Increaser: 316SS Female NPSM x Male NPT Thread Reducer Fittings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Specialty Adapters & Couplings,Reducer / Increaser: 316SS Female BSP x Male NPT Thread Reducer Fittings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Specialty Adapters & Couplings,Reducer / Increaser: Male NPT x Female NPT Thread Reducer Fittings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Bauer Type,Zinc Plated Steel Male Threaded Female Bauer Type Couplings,already-imaged,IH-BC-MALE-FEMALE,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Bauer Type,Zinc Plated Steel Male Threaded Male Bauer Type Couplings,already-imaged,IH-BC-MALE-MALE,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Bauer Type,Zinc Plated Steel Flanged Bauer Type Male Threaded Coupling Complete Set,already-imaged,IH-BC-FLANGE-MALE-SET,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Bauer Type,Zinc Plated Steel Hose Shank Bauer Type Coupling Complete Set,already-imaged,IH-BC-SHANK-COMPLETE,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Bauer Type,Zinc Plated Steel Hose Shank Bauer Type Female Couplings,already-imaged,IH-BC-SHANK-FEMALE,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Bauer Type,Zinc Plated Steel Hose Shank Bauer Type Male Couplings,already-imaged,IH-BC-SHANK-MALE,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Bauer Type,Zinc Plated Steel Lever Rings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Bauer Type,Zinc Plated Steel Female Flanged Bauer Type Couplings,already-imaged,IH-BC-FLANGE-FEMALE,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Bauer Type,Zinc Plated Steel Male Flanged Bauer Type Couplings,already-imaged,IH-BC-FLANGE-MALE,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Bauer Type,Zinc Plated Steel Flanged Bauer Type Coupling Complete Set,already-imaged,IH-BC-FLANGE-SET,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Dry Disconnect Couplings,Aluminum Viton Coupler x Female NPT Dry Disconnect Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Dry Disconnect Couplings,Aluminum PTFE Coupler x Female NPT Dry Disconnect Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Dry Disconnect Couplings,Aluminum Viton Adapter x Female NPT Dry Disconnect Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Dry Disconnect Couplings,Aluminum PTFE Adapter x Female NPT Dry Disconnect Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Sandblast,Aluminum Hose End with Crowfoot,already-imaged,IH-SB-HOSE-END-WITH-CROWFOOT,https://products.sealfast.com/viewitems/hose-end-with-crowfoot/aluminum-hose-end-with-crowfoot,product already carries a feature image
Industrial Hose Couplings,Sandblast,Aluminum NPSH Threaded Hose End Nozzle Holders,already-imaged,IH-SB-NPSH-THREADED-HOSE-END-NOZZLE-HOLDERS,https://products.sealfast.com/viewitems/hose-end-with-nozzle-holder/aluminum-npsh-threaded-hose-end-nozzle-holders,product already carries a feature image
Industrial Hose Couplings,Sandblast,1 1/4 to 1 1/2 Inch (in) Pipe Thread Size Aluminum Hose End with Crowfoot,already-imaged,IH-SB-1-1-4-TO-1-1-2-INCH-IN-PIPE-THREAD-SIZE,https://products.sealfast.com/viewitems/female-npt-with-crowfoot/1-1-4-to-1-1-2-inch--in--size-aluminum-hose-end,product already carries a feature image
Industrial Hose Couplings,Sandblast,Nylon Sandblasting Hose Coupler,update,IH-SB-HOSE-COUPLER,https://sunpool.com.tw/catalog/ins.php?index_id=480&index_m1_id=3&index_m2_id=22,3 sourced specs
Industrial Hose Couplings,Sandblast,Nylon Sandblasting Nozzle Holder,update,IH-SB-NOZZLE-HOLDER,https://sunpool.com.tw/catalog/ins.php?index_id=481&index_m1_id=3&index_m2_id=22,3 sourced specs
Industrial Hose Couplings,Sandblast,Nylon Sandblasting Female Thread Adapter,update,IH-SB-FEMALE-THREAD-ADAPTER,https://sunpool.com.tw/catalog/ins.php?index_id=482&index_m1_id=3&index_m2_id=22,3 sourced specs
Industrial Hose Couplings,Crowfeet,316 Stainless Steel Hose End Crowfoot Couplings,already-imaged,IH-CRW-HOSE-END-CROWFOOT,https://products.sealfast.com/viewitems/hose-end-/316-stainless-steel-hose-end-crowfoot-couplings,product already carries a feature image
Industrial Hose Couplings,Crowfeet,316 Stainless Steel Female NPT Hose End Crowfoot Couplings,already-imaged,IH-CRW-FEMALE-NPT-HOSE-END-CROWFOOT,https://products.sealfast.com/viewitems/female-npt/316-stainless-steel-end-crowfoot-couplings,product already carries a feature image
Industrial Hose Couplings,Crowfeet,316 Stainless Steel Male NPT Hose End Crowfoot Couplings,already-imaged,IH-CRW-MALE-NPT-HOSE-END-CROWFOOT,https://products.sealfast.com/viewitems/male-npt/316-stainless-steel-crowfoot-couplings,product already carries a feature image
Industrial Hose Couplings,Crowfeet,316 Stainless Steel Triple Connection Crowfoot Couplings,update,IH-CRW-TRIPLE-CONNECTION-CROWFOOT,https://products.sealfast.com/item/triple-connection-/316-steel-crowfoot-couplings/sftw00ss-1,2 sourced specs
Industrial Hose Couplings,Crowfeet,316 Stainless Steel Blank End Crowfoot Couplings,update,IH-CRW-BLANK-END-CROWFOOT,https://products.sealfast.com/item/blank-end/316-stainless-steel-blank-end-crowfoot-couplings/sfbe00ss-1,2 sourced specs
Industrial Hose Couplings,Crowfeet,Zinc Plated Iron Four Lug Hose End Crowfoot Couplings,already-imaged,IH-CRW-FOUR-LUG-HOSE-END-CROWFOOT,https://products.sealfast.com/viewitems/four-lug-hose-end/zinc-plated-iron-four-lug-hose-crowfoot-couplings,product already carries a feature image
Industrial Hose Couplings,Crowfeet,Zinc Plated Iron Four Lug Female NPT Crowfoot Couplings,already-imaged,IH-CRW-FOUR-LUG-FEMALE-NPT-CROWFOOT,https://products.sealfast.com/viewitems/four-lug-female-npt/zinc-plated-iron-npt-crowfoot-couplings,product already carries a feature image
Industrial Hose Couplings,Ground Joint,Plated Iron Ground Joint Complete Set,already-imaged,IH-GJ-GROUND-JOINT-COMPLETE-SET,https://products.sealfast.com/viewitems/set/plated-iron-ground-joint-complete-set,product already carries a feature image
Industrial Hose Couplings,Ground Joint,Plated Iron Ground Joint Hose Stem,already-imaged,IH-GJ-GROUND-JOINT-HOSE-STEM,https://products.sealfast.com/viewitems/hose-stem/plated-iron-ground-joint-hose-stem,product already carries a feature image
Industrial Hose Couplings,Ground Joint,Plated Iron Ground Joint Wing Nut,already-imaged,IH-GJ-GROUND-JOINT-WING-NUT,https://products.sealfast.com/viewitems/swivel-nut-/plated-iron-ground-joint-wing-nut,product already carries a feature image
Industrial Hose Couplings,Ground Joint,Plated Iron Ground Joint Female Spud,already-imaged,IH-GJ-GROUND-JOINT-FEMALE-SPUD,https://products.sealfast.com/viewitems/female-spud/plated-iron-ground-joint-female-spud,product already carries a feature image
Industrial Hose Couplings,Ground Joint,Plated Iron Ground Joint NPT Male Stem,already-imaged,IH-GJ-GROUND-JOINT-NPT-MALE-STEM,https://products.sealfast.com/viewitems/male-stem/plated-iron-ground-joint-npt-male-stem,product already carries a feature image
Industrial Hose Couplings,Ground Joint,Plated Iron Ground Joint Male Spud,already-imaged,IH-GJ-GROUND-JOINT-MALE-SPUD,https://products.sealfast.com/viewitems/male-spud/plated-iron-ground-joint-male-spud,product already carries a feature image
Industrial Hose Couplings,Ground Joint,Plated Iron Ground Joint Double Spud,already-imaged,IH-GJ-GROUND-JOINT-DOUBLE-SPUD,https://products.sealfast.com/viewitems/double-spud/plated-iron-ground-joint-double-spud,product already carries a feature image
Industrial Hose Couplings,Ground Joint,Zinc Plated Iron Universal Clamps,already-imaged,IH-GJ-UNIVERSAL-CLAMPS,https://products.sealfast.com/viewitems/universal-clamps/zinc-plated-iron-universal-clamps,product already carries a feature image
Industrial Hose Couplings,Ring Lock,Zinc Plated Steel Hose Shank Female x Male Coupling Complete Set with Ring Lock,already-imaged,IH-RL-HOSE-SHANK-FEMALE-X-MALE-COUPLING-COMPLE,https://products.sealfast.com/viewitems/ring-lock/hose-shank-female-x-male-coupling-complete-set,product already carries a feature image
Industrial Hose Couplings,Ring Lock,Zinc Plated Steel Hose Shank Female Couplings,already-imaged,IH-RL-HOSE-SHANK-FEMALE,https://products.sealfast.com/viewitems/ring-lock/zinc-plated-steel-hose-shank-female-couplings,product already carries a feature image
Industrial Hose Couplings,Ring Lock,Zinc Plated Steel Hose Shank Male Couplings,already-imaged,IH-RL-HOSE-SHANK-MALE,https://products.sealfast.com/viewitems/ring-lock/zinc-plated-steel-hose-shank-male-couplings,product already carries a feature image
Industrial Hose Couplings,Ring Lock,Zinc Plated Steel Lever Rings,already-imaged,IH-RL-LEVER-RINGS,https://products.sealfast.com/viewitems/ring-lock/zinc-plated-steel-lever-rings,product already carries a feature image
Industrial Hose Couplings,Pin Lug Shank Couplings,Aluminum Shank Female Coupling with Brass Nut,already-imaged,IH-PLS-SHANK-FEMALE-COUPLING-WITH-BRASS-NUT,https://products.sealfast.com/viewitems/aluminum-shank/aluminum-shank-female-coupling-with-brass-nut,product already carries a feature image
Industrial Hose Couplings,Pin Lug Shank Couplings,Aluminum Shank Male Coupling,already-imaged,IH-PLS-SHANK-MALE,https://products.sealfast.com/viewitems/aluminum-shank/aluminum-shank-male-coupling,product already carries a feature image
Industrial Hose Couplings,Pin Lug Shank Couplings,Aluminum Shank Coupling Complete Set Brass Nut,already-imaged,IH-PLS-SHANK-COUPLING-COMPLETE-SET-BRASS-NUT,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Shank Couplings,Steel Long Shank Female Hose Nipple,already-imaged,IH-SHK-LONG-SHANK-FEMALE-HOSE-NIPPLE,https://products.sealfast.com/viewitems/steel/steel-long-shank-female-hose-nipple,product already carries a feature image
Industrial Hose Couplings,Shank Couplings,Steel Long Shank Male Hose Nipple,already-imaged,IH-SHK-LONG-SHANK-MALE-HOSE-NIPPLE,https://products.sealfast.com/viewitems/steel/steel-long-shank-male-hose-nipple,product already carries a feature image
Industrial Hose Couplings,Shank Couplings,Steel Long Shank Hose Nipple Complete Set,already-imaged,IH-SHK-LONG-SHANK-HOSE-NIPPLE-COMPLETE-SET,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Shank Couplings,Brass Short Shank Female Hose Nipple,already-imaged,IH-SHK-SHORT-SHANK-FEMALE-HOSE-NIPPLE,https://products.sealfast.com/viewitems/brass-/brass-short-shank-female-hose-nipple,product already carries a feature image
Industrial Hose Couplings,Shank Couplings,Brass Short Shank Male Hose Nipple,already-imaged,IH-SHK-SHORT-SHANK-MALE-HOSE-NIPPLE,https://products.sealfast.com/viewitems/brass-/brass-short-shank-male-hose-nipple,product already carries a feature image
Industrial Hose Couplings,Mender,Brass Hose Menders,already-imaged,IH-MND-HOSE-MENDERS,https://products.sealfast.com/viewitems/brass-mender/brass-hose-menders,product already carries a feature image
Industrial Hose Couplings,Hose Nipples,Zinc Plated Steel Male NPT x Hose Barb Hose Nipple,already-imaged,IH-HN-MALE-NPT-X-HOSE-BARB-HOSE-NIPPLE,https://products.sealfast.com/viewitems/hose-nipples/zinc-plated-steel-male-npt-x-hose-barb-hose-nipple,product already carries a feature image
Industrial Hose Couplings,Guillemin Type,Guillemin Coupling-Female Thread,update,IH-GUI-GUILLEMIN-COUPLING-FEMALE-THREAD,https://sunpool.com.tw/catalog/ins.php?index_id=309&index_m1_id=3&index_m2_id=26,2 sourced specs
Industrial Hose Couplings,Guillemin Type,Guillemin Coupling-Male thread X Spiral Hose Tail,update,IH-GUI-GUILLEMIN-COUPLING-MALE-THREAD-X-SPIRAL,https://sunpool.com.tw/catalog/ins.php?index_id=308&index_m1_id=3&index_m2_id=26,2 sourced specs
Industrial Hose Couplings,Guillemin Type,Guillemin Coupling-Short Shank,update,IH-GUI-GUILLEMIN-COUPLING-SHORT-SHANK,https://sunpool.com.tw/catalog/ins.php?index_id=307&index_m1_id=3&index_m2_id=26,2 sourced specs
Industrial Hose Couplings,Guillemin Type,Guillemin Adapter-Male Thread,update,IH-GUI-GUILLEMIN-ADAPTER-MALE-THREAD,https://sunpool.com.tw/catalog/ins.php?index_id=306&index_m1_id=3&index_m2_id=26,2 sourced specs
Industrial Hose Couplings,Guillemin Type,Guillemin Adapter-Female Thread,update,IH-GUI-GUILLEMIN-ADAPTER-FEMALE-THREAD,https://sunpool.com.tw/catalog/ins.php?index_id=305&index_m1_id=3&index_m2_id=26,2 sourced specs
Industrial Hose Couplings,Guillemin Type,Guillemin Coupling-Long Hose Shank,update,IH-GUI-GUILLEMIN-COUPLING-LONG-HOSE-SHANK,https://sunpool.com.tw/catalog/ins.php?index_id=304&index_m1_id=3&index_m2_id=26,2 sourced specs
Industrial Hose Couplings,Guillemin Type,Guillemin Coupling-Spiral Hose Tail,update,IH-GUI-GUILLEMIN-COUPLING-SPIRAL-HOSE-TAIL,https://sunpool.com.tw/catalog/ins.php?index_id=303&index_m1_id=3&index_m2_id=26,2 sourced specs
Industrial Hose Couplings,Guillemin Type,Guillemin adapter-Reducing Type,update,IH-GUI-GUILLEMIN-ADAPTER-REDUCING-TYPE,https://sunpool.com.tw/catalog/ins.php?index_id=302&index_m1_id=3&index_m2_id=26,2 sourced specs
Industrial Hose Couplings,Guillemin Type,Guillemin Dust Cap,update,IH-GUI-GUILLEMIN-DUST-CAP,https://sunpool.com.tw/catalog/ins.php?index_id=301&index_m1_id=3&index_m2_id=26,2 sourced specs
Industrial Hose Couplings,Composite Hose Fitting,SS Hex Male Composite Hose Fitting,update,IH-COMP-HEX-MALE-COMPOSITE-HOSE-FITTING,https://sunpool.com.tw/catalog/ins.php?index_id=282&index_m1_id=3&index_m2_id=18,3 sourced specs
Industrial Hose Couplings,Composite Hose Fitting,SS Composite Hose Female Liner,update,IH-COMP-COMPOSITE-HOSE-FEMALE-LINER,https://sunpool.com.tw/catalog/ins.php?index_id=280&index_m1_id=3&index_m2_id=18,2 sourced specs
Industrial Hose Couplings,Composite Hose Fitting,SS Lug Nut For Female Liner,update,IH-COMP-LUG-NUT-FOR-FEMALE-LINER,https://sunpool.com.tw/catalog/ins.php?index_id=278&index_m1_id=3&index_m2_id=18,3 sourced specs
Industrial Hose Couplings,Composite Hose Fitting,Camlock Type C X Spiral Tail For Compostie Hose,update,IH-COMP-CAMLOCK-TYPE-C-X-SPIRAL-TAIL-FOR-COMPOST,https://sunpool.com.tw/catalog/ins.php?index_id=277&index_m1_id=3&index_m2_id=18,"4 sourced specs; title corrected to ""Camlock Type C X Spiral Tail For Composite Hose"""
Industrial Hose Couplings,Composite Hose Fitting,Camlock-Type E X Spiral Tail For Composite Hose,update,IH-COMP-CAMLOCK-TYPE-E-X-SPIRAL-TAIL-FOR-COMPOSI,https://sunpool.com.tw/catalog/ins.php?index_id=238&index_m1_id=3&index_m2_id=18,2 sourced specs
Industrial Hose Couplings,Composite Hose Fitting,Spiral hose tail x Flange,update,IH-COMP-SPIRAL-HOSE-TAIL-X-FLANGE,https://sunpool.com.tw/catalog/ins.php?index_id=674&index_m1_id=3&index_m2_id=18,2 sourced specs
Industrial Hose Couplings,KC Nipple & Hose Fitting,Heavy Duty KC X Turnback Flange,update,IH-KC-KC-X-TURNBACK-FLANGE,https://sunpool.com.tw/catalog/ins.php?index_id=259&index_m1_id=3&index_m2_id=7,2 sourced specs
Industrial Hose Couplings,KC Nipple & Hose Fitting,Heavy Duty KC X Fixed Flange,update,IH-KC-KC-X-FIXED-FLANGE,https://sunpool.com.tw/catalog/ins.php?index_id=258&index_m1_id=3&index_m2_id=7,2 sourced specs
Industrial Hose Couplings,KC Nipple & Hose Fitting,Heavy Duty KC Nipple,update,IH-KC-KC-NIPPLE,https://sunpool.com.tw/catalog/ins.php?index_id=257&index_m1_id=3&index_m2_id=7,3 sourced specs
Industrial Hose Couplings,KC Nipple & Hose Fitting,KC Nipple,update,IH-KC-KC-NIPPLE-2,https://sunpool.com.tw/catalog/ins.php?index_id=256&index_m1_id=3&index_m2_id=7,3 sourced specs
Industrial Hose Couplings,KC Nipple & Hose Fitting,Groove KC Nipple,update,IH-KC-GROOVE-KC-NIPPLE,https://sunpool.com.tw/catalog/ins.php?index_id=255&index_m1_id=3&index_m2_id=7,2 sourced specs
Industrial Hose Couplings,KC Nipple & Hose Fitting,Hose Mender,update,IH-KC-HOSE-MENDER,https://sunpool.com.tw/catalog/ins.php?index_id=254&index_m1_id=3&index_m2_id=7,2 sourced specs
Industrial Hose Couplings,KC Nipple & Hose Fitting,Umbilical Slurry Coupling Set,update,IH-KC-UMBILICAL-SLURRY-COUPLING-SET,https://sunpool.com.tw/catalog/ins.php?index_id=538&index_m1_id=3&index_m2_id=7,2 sourced specs
Industrial Hose Couplings,KC Nipple & Hose Fitting,Drag Hose Fitting,update,IH-KC-DRAG-HOSE-FITTING,https://sunpool.com.tw/catalog/ins.php?index_id=536&index_m1_id=3&index_m2_id=7,2 sourced specs
Industrial Hose Couplings,KC Nipple & Hose Fitting,Frac Water Coupling,update,IH-KC-FRAC-WATER,https://sunpool.com.tw/catalog/ins.php?index_id=250&index_m1_id=3&index_m2_id=7,2 sourced specs
Industrial Hose Couplings,KC Nipple & Hose Fitting,206 Hose Hammer Union Coupling,update,IH-KC-206-HOSE-HAMMER-UNION,https://sunpool.com.tw/catalog/ins.php?index_id=346&index_m1_id=3&index_m2_id=7,0 sourced specs
Industrial Hose Couplings,KC Nipple & Hose Fitting,Carbon Steel Suction Hose Coupling,update,IH-KC-SUCTION-HOSE,https://sunpool.com.tw/catalog/ins.php?index_id=443&index_m1_id=3&index_m2_id=7,3 sourced specs
Industrial Hose Couplings,KC Nipple & Hose Fitting,Brass Suction Hose Coupling,update,IH-KC-SUCTION-HOSE-2,https://sunpool.com.tw/catalog/ins.php?index_id=124&index_m1_id=3&index_m2_id=7,3 sourced specs
Industrial Hose Couplings,KC Nipple & Hose Fitting,Aluminum Suction Hose Coupling,update,IH-KC-SUCTION-HOSE-3,https://sunpool.com.tw/catalog/ins.php?index_id=249&index_m1_id=3&index_m2_id=7,3 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,Storz FDC UL Listed-Painted,update,IH-STZ-STORZ-FDC-UL-LISTED-PAINTED,https://www.sunpool.com.tw/catalog/ins.php?index_id=612&index_m1_id=1&index_m2_id=31,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,Storz FDC UL Listed-H. Anodized,update,IH-STZ-STORZ-FDC-UL-LISTED-H-ANODIZED,https://www.sunpool.com.tw/catalog/ins.php?index_id=614&index_m1_id=1&index_m2_id=31,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,Storz Coupling with Safety Latch,update,IH-STZ-STORZ-COUPLING-WITH-SAFETY-LATCH,https://sunpool.com.tw/catalog/ins.php?index_id=275&index_m1_id=3&index_m2_id=9,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,Storz Adapter with Safety Latch-H. Anodized,update,IH-STZ-STORZ-ADAPTER-WITH-SAFETY-LATCH-H-ANODIZ,https://sunpool.com.tw/catalog/ins.php?index_id=274&index_m1_id=3&index_m2_id=9,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,Storz Adapter with Safety Latch-Painted,update,IH-STZ-STORZ-ADAPTER-WITH-SAFETY-LATCH-PAINTED,https://sunpool.com.tw/catalog/ins.php?index_id=273&index_m1_id=3&index_m2_id=9,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,Storz Adapter X Swivel Female Thread,update,IH-STZ-STORZ-ADAPTER-X-SWIVEL-FEMALE-THREAD,https://sunpool.com.tw/catalog/ins.php?index_id=526&index_m1_id=3&index_m2_id=9,2 sourced specs
