sku,ourTitle,sealfastSlug,sealfastTitle,confidence,score,note
IH-CRW-FEMALE-NPT-HOSE-END-CROWFOOT,316 Stainless Steel Female NPT Hose End Crowfoot Couplings,female-npt__316-stainless-steel-end-crowfoot-couplings,316 Stainless Steel Female NPT Hose End Crowfoot Couplings,confirmed,0.99,
IH-CRW-HOSE-END-CROWFOOT,316 Stainless Steel Hose End Crowfoot Couplings,hose-end-__316-stainless-steel-hose-end-crowfoot-couplings,316 Stainless Steel Hose End Crowfoot Couplings,confirmed,0.99,
IH-CRW-MALE-NPT-HOSE-END-CROWFOOT,316 Stainless Steel Male NPT Hose End Crowfoot Couplings,male-npt__316-stainless-steel-crowfoot-couplings,316 Stainless Steel Male NPT Hose End Crowfoot Couplings,confirmed,0.99,
IH-CRW-TRIPLE-CONNECTION-CROWFOOT,316 Stainless Steel Triple Connection Crowfoot Couplings,,,not-found,,no triple-connection crowfoot family on Sealfast
IH-CRW-FOUR-LUG-FEMALE-NPT-CROWFOOT,Zinc Plated Iron Four Lug Female NPT Crowfoot Couplings,four-lug-female-npt__zinc-plated-iron-npt-crowfoot-couplings,Zinc Plated Iron Four Lug Female NPT Crowfoot Couplings,confirmed,0.95,
IH-CRW-FOUR-LUG-HOSE-END-CROWFOOT,Zinc Plated Iron Four Lug Hose End Crowfoot Couplings,four-lug-hose-end__zinc-plated-iron-four-lug-hose-crowfoot-couplings,Zinc Plated Iron Four Lug Hose End Crowfoot Couplings,confirmed,0.95,
IH-DDC-ADAPTER-PTFE,Aluminum PTFE Adapter × Female NPT Dry Disconnect Couplings,male-ptfe-seat__aluminum-ptfe-npt-dry-disconnect-couplings,Aluminum FEP Adapter x Female NPT Dry Disconnect Couplings,confirmed,manual,Sealfast titles the PTFE seat as FEP; slug confirms PTFE
IH-DDC-COUPLER-PTFE,Aluminum PTFE Coupler × Female NPT Dry Disconnect Couplings,ptfe-seat__aluminum-dry-disconnect-couplings,Aluminum FEP Coupler x Female NPT Dry Disconnect Couplings,confirmed,manual,Sealfast titles the PTFE seat as FEP; slug confirms PTFE
IH-DDC-ADAPTER-VITON,Aluminum Viton Adapter × Female NPT Dry Disconnect Couplings,male-viton-seat__aluminum-viton-npt-dry-disconnect-couplings,Aluminum FKM Adapter x Female NPT Dry Disconnect Couplings,confirmed,0.73,
IH-DDC-COUPLER-VITON,Aluminum Viton Coupler × Female NPT Dry Disconnect Couplings,viton-seat__aluminum-viton-dry-disconnect-couplings,Aluminum FKM Coupler x Female NPT Dry Disconnect Couplings,confirmed,0.73,
IH-GJ-GROUND-JOINT-COMPLETE-SET,Plated Iron Ground Joint Complete Set,set__plated-iron-ground-joint-complete-set,Plated Iron Ground Joint Complete Set,confirmed,0.95,
IH-GJ-GROUND-JOINT-DOUBLE-SPUD,Plated Iron Ground Joint Double Spud,double-spud__plated-iron-ground-joint-double-spud,Plated Iron Ground Joint Double Spud,confirmed,0.95,
IH-GJ-GROUND-JOINT-FEMALE-SPUD,Plated Iron Ground Joint Female Spud,female-spud__plated-iron-ground-joint-female-spud,Plated Iron Ground Joint Female Spud,confirmed,0.95,
IH-GJ-GROUND-JOINT-HOSE-STEM,Plated Iron Ground Joint Hose Stem,hose-stem__plated-iron-ground-joint-hose-stem,Plated Iron Ground Joint Hose Stem,confirmed,0.95,
IH-GJ-GROUND-JOINT-MALE-SPUD,Plated Iron Ground Joint Male Spud,male-spud__plated-iron-ground-joint-male-spud,Plated Iron Ground Joint Male Spud,confirmed,0.95,
IH-GJ-GROUND-JOINT-NPT-MALE-STEM,Plated Iron Ground Joint NPT Male Stem,male-stem__plated-iron-ground-joint-npt-male-stem,Plated Iron Ground Joint NPT Male Stem,confirmed,0.95,
IH-GJ-GROUND-JOINT-WING-NUT,Plated Iron Ground Joint Wing Nut,swivel-nut-__plated-iron-ground-joint-wing-nut,Plated Iron Ground Joint Wing Nut,confirmed,0.95,
IH-GJ-UNIVERSAL-CLAMPS,Zinc Plated Iron Universal Clamps,universal-clamps__zinc-plated-iron-universal-clamps,Universal Clamps,confirmed,0.95,
IH-MND-HOSE-MENDERS,Brass Hose Menders,npt-shanks__brass-hose-menders,Brass Hose Menders,confirmed,0.96,
IH-HN-MALE-NPT-X-HOSE-BARB-HOSE-NIPPLE,Zinc Plated Steel Male NPT x Hose Barb Hose Nipple,hose-nipples__zinc-plated-steel-male-npt-x-hose-barb-hose-nipple,Zinc Plated Steel Male NPT x Hose Barb Hose Nipple,confirmed,0.95,
IH-PLS-SHANK-COUPLING-COMPLETE-SET-BRASS-NUT,Aluminum Shank Coupling Complete Set Brass Nut,aluminum-shank__aluminum-shank-coupling-complete-set,Aluminum Shank Coupling Complete Set with Brass Nut,confirmed,0.782,
IH-PLS-SHANK-FEMALE-COUPLING-WITH-BRASS-NUT,Aluminum Shank Female Coupling with Brass Nut,aluminum-shank__aluminum-shank-female-coupling-with-brass-nut,Aluminum Shank Female Coupling with Brass Nut,confirmed,0.96,
IH-PLS-SHANK-MALE,Aluminum Shank Male Coupling,aluminum-shank__aluminum-shank-male-coupling,Aluminum Shank Male Coupling,confirmed,1.01,
IH-RL-HOSE-SHANK-FEMALE,Zinc Plated Steel Hose Shank Female Couplings,ring-lock__zinc-plated-steel-hose-shank-female-couplings,Zinc Plated Steel Hose Shank Female Couplings,confirmed,0.95,
IH-RL-HOSE-SHANK-FEMALE-X-MALE-COUPLING-COMPLE,Zinc Plated Steel Hose Shank Female x Male Coupling Complete Set with Ring Lock,ring-lock__hose-shank-female-x-male-coupling-complete-set,Zinc Plated Steel Hose Shank Female x Male Coupling Complete Set with Ring Lock,confirmed,0.95,
IH-RL-HOSE-SHANK-MALE,Zinc Plated Steel Hose Shank Male Couplings,ring-lock__zinc-plated-steel-hose-shank-male-couplings,Zinc Plated Steel Hose Shank Male Couplings,confirmed,0.95,
IH-RL-LEVER-RINGS,Zinc Plated Steel Lever Rings,ring-lock__zinc-plated-steel-lever-rings,Zinc Plated Steel Lever Rings,confirmed,0.95,
IH-SB-1-1-4-TO-1-1-2-INCH-IN-PIPE-THREAD-SIZE,1 1/4 to 1 1/2 Inch (in) Pipe Thread Size Aluminum Hose End with Crowfoot,female-npt-with-crowfoot__1-1-4-to-1-1-2-inch--in--size-aluminum-hose-end,1 1/4 to 1 1/2 Inch (in) Pipe Thread Size Aluminum Hose End with Crowfoot,confirmed,1.01,
IH-SB-HOSE-END-WITH-CROWFOOT,Aluminum Hose End with Crowfoot,hose-end-with-crowfoot__aluminum-hose-end-with-crowfoot,Aluminum Hose End with Crowfoot,confirmed,1.01,
IH-SB-NPSH-THREADED-HOSE-END-NOZZLE-HOLDERS,Aluminum NPSH Threaded Hose End Nozzle Holders,hose-end-with-nozzle-holder__aluminum-npsh-threaded-hose-end-nozzle-holders,Aluminum NPSH Threaded Hose End Nozzle Holders,confirmed,1.01,
IH-SHK-SHORT-SHANK-FEMALE-HOSE-NIPPLE,Brass Short Shank Female Hose Nipple,short-shank-__brass-short-shank-female-hose-nipple-,Brass Short Shank Female Hose Nipple,confirmed,0.96,
IH-SHK-SHORT-SHANK-MALE-HOSE-NIPPLE,Brass Short Shank Male Hose Nipple,short-shank-__brass-short-shank-male-hose-nipple-,Brass Short Shank Male Hose Nipple,confirmed,0.96,
IH-SHK-LONG-SHANK-FEMALE-HOSE-NIPPLE,Steel Long Shank Female Hose Nipple,steel__steel-long-shank-female-hose-nipple,Steel Long Shank Female Hose Nipple,confirmed,0.95,
IH-SHK-LONG-SHANK-HOSE-NIPPLE-COMPLETE-SET,Steel Long Shank Hose Nipple Complete Set,steel__steel-long-shank-hose-nipple-complete-set,Steel Long Shank Hose Nipple Complete Set,confirmed,0.95,
IH-SHK-LONG-SHANK-MALE-HOSE-NIPPLE,Steel Long Shank Male Hose Nipple,steel__steel-long-shank-male-hose-nipple,Steel Long Shank Male Hose Nipple,confirmed,0.95,
IH-SPC-FA-150,150# Flanged Type FA: Type FA ANSI Class 150 Flanged Specialty Adapter Fittings,type-fa__ansi-class-150-flanged-specialty-adapter-fittings,Aluminum Type FA ANSI Class 150 Flanged Specialty Adapter Fittings,confirmed,0.87,
IH-SPC-FC-150,150# Flanged Type FC: Type FC ANSI Class 150 Flanged Couplers Stainless Steel,type-fc__316-stainless-steel-fc-ansi-150-flanged-couplers,316 Stainless Steel Type FC ANSI Class 150 Flanged Couplers,confirmed,0.945,
IH-SPC-TR-BSP,Reducer / Increaser: 316SS Female BSP × Male NPT Thread Reducer Fittings,threaded__316-stainless-male-npt-thread-reducer-fittings,316 Stainless Steel Female BSP x Male NPT Thread Reducer Fittings,confirmed,0.682,
IH-SPC-TR-NPSM,Reducer / Increaser: 316SS Female NPSM × Male NPT Thread Reducer Fittings,threaded__316-stainless-steel-thread-reducer-fittings,316 Stainless Steel Female NPSM x Male NPT Thread Reducer Fittings,confirmed,0.682,
IH-SPC-TR-NPT,Reducer / Increaser: Male NPT × Female NPT Thread Reducer Fittings,threaded__aluminum-female-npt-thread-reducer-fittings,Aluminum Male NPT x Female NPT Thread Reducer Fittings,confirmed,0.645,
IH-SPC-BR,Reducer / Increaser: Reducing B Female Coupler × Male NPT Couplings,type-br__aluminum-reducing-b-female-couplings,Aluminum Reducing BR Female Coupler x Male NPT Couplings,confirmed,0.595,
IH-SPC-AR,Reducer / Increaser: Type AR Reducing A Male × Female NPT Specialty Couplings,type-ar__aluminum-male-x-female-npt-specialty-couplings,Aluminum Type AR Reducing A Male x Female NPT Specialty Couplings,confirmed,0.833,
IH-SPC-BLN,Reducer / Increaser: Type BLN Longneck Female × Male NPT Specialty Cam and Groove Couplings,type-bln__aluminum-type-bln-longneck-couplings,Aluminum Type BLN Longneck Female x Male NPT Specialty Cam and Groove Couplings,confirmed,0.745,
IH-SPC-CR,Reducer / Increaser: Type CR Female Coupler × Shank Reducing C Cam and Groove Couplings,type-cr__aluminum-cr-reducing-c-cam-and-groove-couplings,Aluminum Type CR Female Coupler x Shank Reducing C Cam and Groove Couplings,confirmed,0.845,
IH-SPC-DA-RED,Reducer / Increaser: Type DA Female Coupler × Male Adapter Reducing Cam and Groove Couplings,type-da-1__aluminum-type-da-cam-and-groove-couplings,Aluminum Type DA Female Coupler x Male Adapter Reducing Cam and Groove Couplings,confirmed,0.845,
IH-SPC-DR,Reducer / Increaser: Type DR Female Coupler × Female NPT Reducing D Cam and Groove Couplings,type-dr__aluminum-dr-reducing-d-cam-and-groove-couplings,Aluminum Type DR Female Coupler x Female NPT Reducing D Cam and Groove Couplings,confirmed,0.845,
IH-SPC-ER,Reducer / Increaser: Type ER Male Adapter × Shank Reducing E Cam and Groove Couplings,type-er__aluminum-er-reducing-e-cam-and-groove-couplings,Aluminum Type ER Male Adapter x Shank Reducing E Cam and Groove Couplings,confirmed,0.845,
IH-SPC-DD-SPOOL,Spool Adapters: Type DD Female × Female Coupler Spool,type-dd-1__aluminum-dd-spool-coupler-cam-and-groove-couplings,Aluminum Type DD Female x Female Spool Coupler Cam and Groove Couplings,confirmed,0.75,
IH-SPC-AW,Type AW Socket Weld Adapter Specialty Cam and Groove Coupling,type-aw__aluminum-type-aw-socket-weld-adapter-couplings,Aluminum Type AW Socket Weld Adapter Couplings,confirmed,0.75,
IH-SPC-DCL,Type DCL Lockable Dust Caps (SS / Brass),type-dc-2__brass-type-dcl-lockable-dust-caps,Brass Type DCL Lockable Dust Caps,confirmed,0.96,
IH-SPC-DW,Type DW Socket Weld Specialty Cam and Groove Coupling,type-dw__weld--specialty-cam-and-groove-couplings,316 Stainless Steel Type DW Socket Weld Specialty Cam and Groove Couplings,confirmed,0.79,
IH-SPC-SA,Type SA Male × Male Spool Adapter Cam and Groove Couplings,type-sa__aluminum-sa-spool-adapter-cam-and-groove-couplings,Aluminum Type SA Male x Male Spool Adapter Cam and Groove Couplings,confirmed,0.87,
