sku,ourTitle,dupontSlug,confidence,note
IH-LUB-P74,Molykote P74,molykote-p-74-assembly-paste,confirmed,
IH-LUB-TP42-GREASE-PASTE-126865,Molykote TP42 Grease Paste 126865,molykote-tp-42-paste,confirmed,
IH-LUB-G4500-MULTI-PURPOSE-SYNTHETIC-GREASE,Molykote G4500 Multi-Purpose Synthetic Grease,molykote-g-4500-fm-multi-purpose-synthetic-grease,confirmed,founder 2026-08-17: stocks the 16 kg pail = the FM grade (its only pack size)
IH-LUB-7439,Molykote 7439,molykote-cu-7439-plus-paste-v1,confirmed,founder 2026-08-17: nearest item; stocks the paste not the spray; retitled + moved to Pastes
IH-LUB-CU-7435-PLUS,Molykote CU 7435 Plus,,deleted,founder 2026-08-17: not a real product; deleted and redirected to CU-7439
IH-LUB-33-MED-A,Molykote 33 MED (Variant 2),molykote-33-medium-extreme-low-temperature-grease,confirmed,founder 2026-08-17: Variant 2 is also the Medium grade - DUPLICATE of IH-LUB-33-MED
IH-LUB-165-LT,Molykote 165 LT,,not-found,no 165 LT page on DuPont
IH-LUB-165-LT-A,Molykote 165 LT (Variant 2),,not-found,no 165 LT page on DuPont
IH-LUB-EP,Molykote EP,,ambiguous,too generic to match safely
IH-LUB-EP-GREASE,Molykote EP Grease,,ambiguous,too generic to match safely
IH-LUB-2-POWDER,Molykote 2 Powder,,not-found,no match; DuPont powders are D-55 / 7365 / 7375 Lubolid
IH-LUB-CLOVER-COMPOUND,Molykote Clover Compound,,not-found,not on DuPont site
IH-LUB-SEPARATOR-SPRAY,Molykote Separator Spray,,not-found,not on DuPont site
IH-LUB-LONG-TERM-W2-MULTI-PURPOSE,Molykote Long Term W2 Multi-Purpose,,not-found,only Longterm 2 Plus exists on DuPont
IH-LUB-P33-LOW-TEMPERATURE-LUBRICANT,Molykote P33 Low Temperature Lubricant,,not-found,no P-33 on DuPont
IH-LUB-P44-HIGH-TEMPERATURE-LUBRICANT,Molykote P44 High Temperature Lubricant,,not-found,no P-44 on DuPont
IH-LUB-1102-GAS-COCK-GREASE,Molykote 1102 Gas Cock Grease,,not-found,not on DuPont site
IH-LUB-1292,Molykote 1292,,not-found,not on DuPont site
IH-LUB-340,Molykote 340,,not-found,not on DuPont site
IH-LUB-7093,Molykote 7093,,not-found,not on DuPont site
IH-LUB-739,Molykote 739,,not-found,not on DuPont site
IH-LUB-7405,Molykote 7405,,not-found,not on DuPont site
IH-LUB-7414,Molykote 7414,,not-found,7415 Thinner exists but is a different product
IH-LUB-7438,Molykote 7438,,not-found,not on DuPont site
IH-LUB-G5700,Molykote G5700,,not-found,not on DuPont site
IH-LUB-P-1600,Molykote P-1600,,not-found,not on DuPont site
IH-LUB-PG-54-PLASTISLIP-GREASE,Molykote PG-54 Plastislip Grease,,not-found,only PG-65 Plastislip exists on DuPont
IH-LUB-PG-75-PLASTISLIP-GREASE,Molykote PG-75 Plastislip Grease,,not-found,only PG-65 Plastislip exists on DuPont
