sku,title,categorySlug,dupontTitle,dupontUrl,hasImage,specs,faqs,datasheet
IH-LUB-D-7708-ANTI-FRICTION-COATING,Molykote D-7708 Anti-Friction Coating,molykote-anti-friction-coatings,MOLYKOTE® D-7708 Anti-Friction Coating,https://www.dupont.com/products/molykote-d-7708-anti-friction-coating.html,yes,7,7,no
IH-LUB-PA-744-ANTI-FRICTION-COATING,Molykote PA-744 Anti-Friction Coating,molykote-anti-friction-coatings,MOLYKOTE® PA-744 Anti-Friction Coating,https://www.dupont.com/products/molykote-pa-744-anti-friction-coating.html,yes,7,7,yes
IH-LUB-3099-HVIC-HIGH-VOLTAGE-INSULATOR-COATING-COM,Molykote 3099 HVIC (High Voltage Insulator Coating) Compound,molykote-compounds,MOLYKOTE® 3099 HVIC (High Voltage Insulator Coating) Compound,https://www.dupont.com/products/molykote-3099-hvic-high-voltage-insulator-coating-compound.html,yes,6,6,yes
IH-LUB-3179-DILATANT-COMPOUND,Molykote 3179 Dilatant Compound,molykote-compounds,MOLYKOTE® 3179 Dilatant Compound,https://www.dupont.com/products/molykote-3179-dilatant-compound.html,yes,6,6,yes
IH-LUB-4-ELECTRICAL-INSULATING-COMPOUND,Molykote 4 Electrical Insulating Compound,molykote-compounds,MOLYKOTE® 4 Electrical Insulating Compound,https://www.dupont.com/products/molykote-4-electrical-insulating-compound.html,yes,7,7,yes
IH-LUB-5-COMPOUND,Molykote 5 Compound,molykote-compounds,MOLYKOTE® 5 Compound,https://www.dupont.com/products/molykote-5-compound.html,yes,7,7,yes
IH-LUB-G-804-SILICONE-COMPOUND,Molykote G-804 Silicone Compound,molykote-compounds,MOLYKOTE® G-804 Silicone Compound,https://www.dupont.com/products/molykote-g-804-silicone-compound.html,yes,7,7,yes
IH-LUB-G-807-LOW-FRICTION-SILICONE-COMPOUND,Molykote G-807 Low Friction Silicone Compound,molykote-compounds,MOLYKOTE® G-807 Low Friction Silicone Compound,https://www.dupont.com/products/molykote-g-807-low-friction-silicone-compound.html,yes,8,7,yes
IH-LUB-7514-GREASE,Molykote 7514 Grease,molykote-greases,MOLYKOTE® 7514 Grease,https://www.dupont.com/products/molykote-7514-grease.html,yes,8,7,yes
IH-LUB-822M-GREASE,Molykote 822M Grease,molykote-greases,MOLYKOTE® 822M Grease,https://www.dupont.com/products/molykote-822m-grease.html,yes,8,7,yes
IH-LUB-AG-633-GREASE,Molykote AG-633 Grease,molykote-greases,MOLYKOTE® AG-633 Grease,https://www.dupont.com/products/molykote-ag-633-grease.html,yes,8,7,yes
IH-LUB-AI-6159-GREASE,Molykote AI-6159 Grease,molykote-greases,MOLYKOTE® AI-6159 Grease,https://www.dupont.com/products/molykote-ai-6159-grease.html,yes,7,7,yes
IH-LUB-AS-880N-GREASE,Molykote AS-880N Grease,molykote-greases,MOLYKOTE® AS-880N Grease,https://www.dupont.com/products/molykote-as-880n-grease.html,yes,8,7,yes
IH-LUB-BG-555-LOW-NOISE-GREASE,Molykote BG-555 Low Noise Grease,molykote-greases,MOLYKOTE® BG-555 Low Noise Grease,https://www.dupont.com/products/molykote-bg-555-low-noise-grease.html,yes,8,7,yes
IH-LUB-EM-50L-GREASE,Molykote EM-50L Grease,molykote-greases,MOLYKOTE® EM-50L Grease,https://www.dupont.com/products/molykote-em-50l-grease.html,yes,9,7,yes
IH-LUB-EM-D110-GREASE,Molykote EM-D110 Grease,molykote-greases,MOLYKOTE® EM-D110 Grease,https://www.dupont.com/products/molykote-em-d110-grease.html,yes,9,7,yes
IH-LUB-FS-841-GREASE,Molykote FS-841 Grease,molykote-greases,MOLYKOTE® FS-841 Grease,https://www.dupont.com/products/molykote-fs-841-grease.html,yes,8,7,yes
IH-LUB-G-0010-GREASE,Molykote G-0010 Grease,molykote-greases,MOLYKOTE® G-0010 Grease,https://www.dupont.com/products/molykote-g-0010-grease.html,yes,9,7,yes
IH-LUB-G-0060-FM-WHITE-MULTIPURPOSE-GREASE,Molykote G-0060 FM White Multipurpose Grease,molykote-greases,MOLYKOTE® G-0060 FM White Multipurpose Grease,https://www.dupont.com/products/molykote-g-0060-fm.html,yes,8,7,no
IH-LUB-G-0061-FM-WHITE-MULTIPURPOSE-GREASE,Molykote G-0061 FM White Multipurpose Grease,molykote-greases,MOLYKOTE® G-0061 FM White Multipurpose Grease,https://www.dupont.com/products/molykote-g-0061-fm.html,yes,8,7,no
IH-LUB-G-0062-FM-WHITE-MULTIPURPOSE-GREASE,Molykote G-0062 FM White Multipurpose Grease,molykote-greases,MOLYKOTE® G-0062 FM White Multipurpose Grease,https://www.dupont.com/products/molykote-g-0062-fm.html,yes,8,7,no
IH-LUB-G-1021-SYNTHETIC-AUTOMOTIVE-GREASE,Molykote G-1021 Synthetic Automotive Grease,molykote-greases,MOLYKOTE® G-1021 Synthetic Automotive Grease,https://www.dupont.com/products/molykote-g-1021-synthetic-automotive-grease.html,yes,8,7,yes
IH-LUB-G-1033-GREASE,Molykote G-1033 Grease,molykote-greases,MOLYKOTE® G-1033 Grease,https://www.dupont.com/products/molykote-g-1033-grease.html,yes,8,6,yes
IH-LUB-G-1041-GREASE,Molykote G-1041 Grease,molykote-greases,MOLYKOTE® G-1041 Grease,https://www.dupont.com/products/molykote-g-1041-grease.html,yes,7,7,yes
IH-LUB-G-1051-GREASE,Molykote G-1051 Grease,molykote-greases,MOLYKOTE® G-1051 Grease,https://www.dupont.com/products/molykote-g-1051-grease.html,yes,7,7,yes
IH-LUB-G-1056-GREASE,Molykote G-1056 Grease,molykote-greases,MOLYKOTE® G-1056 Grease,https://www.dupont.com/products/molykote-g-1056-grease.html,yes,8,7,yes
IH-LUB-G-1057-GREASE,Molykote G-1057 Grease,molykote-greases,MOLYKOTE® G-1057 Grease,https://www.dupont.com/products/molykote-g-1057-grease.html,yes,8,7,yes
IH-LUB-G-1067-GREASE,Molykote G-1067 Grease,molykote-greases,MOLYKOTE® G-1067 Grease,https://www.dupont.com/products/molykote-g-1067-grease.html,yes,8,7,yes
IH-LUB-G-1068-GREASE,Molykote G-1068 Grease,molykote-greases,MOLYKOTE® G-1068 Grease,https://www.dupont.com/products/molykote-g-1068-grease.html,yes,8,7,yes
IH-LUB-G-1076-GREASE,Molykote G-1076 Grease,molykote-greases,MOLYKOTE® G-1076 Grease,https://www.dupont.com/products/molykote-g-1076-grease.html,yes,7,7,yes
IH-LUB-G-1079-GREASE,Molykote G-1079 Grease,molykote-greases,MOLYKOTE® G-1079 Grease,https://www.dupont.com/products/molykote-g-1079-grease.html,yes,9,7,yes
IH-LUB-G-1502-FM-SYNTHETIC-BEARING-AND-GEAR-GREASE,Molykote G-1502 FM Synthetic Bearing & Gear Grease,molykote-greases,MOLYKOTE® G-1502 FM Synthetic Bearing & Gear Grease,https://www.dupont.com/products/molykote-g-1502-fm-synthetic-bearing-and-gear-grease.html,yes,9,7,yes
IH-LUB-G-2001-GREASE,Molykote G-2001 Grease,molykote-greases,MOLYKOTE® G-2001 Grease,https://www.dupont.com/products/molykote-g-2001-grease.html,yes,8,7,yes
IH-LUB-G-2008-SYNTHETIC-TOOL-GEAR-GREASE,Molykote G-2008 Synthetic Tool Gear Grease,molykote-greases,MOLYKOTE® G-2008 Synthetic Tool Gear Grease,https://www.dupont.com/products/molykote-g-2008-synthetic-tool-gear-grease.html,yes,9,7,yes
IH-LUB-G-3407-CALIPER-PIN-GREASE,Molykote G-3407 Caliper Pin Grease,molykote-greases,MOLYKOTE® G-3407 Caliper Pin Grease,https://www.dupont.com/products/molykote-g-3407-caliper-pin-grease.html,yes,7,7,yes
IH-LUB-G-3500-GREASE,Molykote G-3500 Grease,molykote-greases,MOLYKOTE® G-3500 Grease,https://www.dupont.com/products/molykote-g-3500-grease.html,yes,8,7,yes
IH-LUB-G-4501-FM-MULTI-PURPOSE-SYNTHETIC-GREASE,Molykote G-4501 FM Multi-Purpose Synthetic Grease,molykote-greases,MOLYKOTE® G-4501 FM Multi-Purpose Synthetic Grease,https://www.dupont.com/products/molykote-g-4501-fm-multi-purpose-synthetic-grease.html,yes,9,7,yes
IH-LUB-G-4501-FMS-MULTI-PURPOSE-SYNTHETIC-GREASE,Molykote G-4501 FMS Multi-Purpose Synthetic Grease,molykote-greases,MOLYKOTE® G-4501 FMS Multi-Purpose Synthetic Grease,https://www.dupont.com/products/molykote-g-4501-fms-multi-purpose-synthetic-grease.html,yes,9,7,yes
IH-LUB-G-5008-DIELECTRIC-GREASE,Molykote G-5008 Dielectric Grease,molykote-greases,MOLYKOTE® G-5008 Dielectric Grease,https://www.dupont.com/products/molykote-g-5008-dielectric-grease.html,yes,9,6,yes
IH-LUB-G-5021-GREASE,Molykote G-5021 Grease,molykote-greases,MOLYKOTE® G-5021 Grease,https://www.dupont.com/products/molykote-g-5021-grease.html,yes,7,7,yes
IH-LUB-G-5042-SILICONE-AUTOMOTIVE-SERVICE-GREASE,Molykote G-5042 Silicone Automotive Service Grease,molykote-greases,MOLYKOTE® G-5042 Silicone Automotive Service Grease,https://www.dupont.com/products/molykote-g-5042-silicone-automotive-service-grease.html,yes,7,7,yes
IH-LUB-G-5133-M-WIDE-TEMPERATURE-RANGE-GREASE,Molykote G-5133 M Wide Temperature Range Grease,molykote-greases,MOLYKOTE® G-5133 M Wide Temperature Range Grease,https://www.dupont.com/products/molykoteg-5133mwidetemper.html,yes,8,7,yes
IH-LUB-G-8101-GREASE,Molykote G-8101 Grease,molykote-greases,MOLYKOTE® G-8101 Grease,https://www.dupont.com/products/molykote-g-8101-grease.html,yes,3,6,no
IH-LUB-HP-670-GREASE,Molykote HP-670 Grease,molykote-greases,MOLYKOTE® HP-670 Grease,https://www.dupont.com/products/molykote-hp-670-grease.html,yes,9,7,yes
IH-LUB-PG-65-PLASTISLIP-GREASE,Molykote PG-65 Plastislip Grease,molykote-greases,MOLYKOTE® PG-65 Plastislip Grease,https://www.dupont.com/products/molykote-pg-65-plastislip-grease.html,yes,8,7,yes
IH-LUB-SK-623-GREASE,Molykote SK-623 Grease,molykote-greases,MOLYKOTE® SK-623 Grease,https://www.dupont.com/products/molykote-sk-623-grease.html,yes,8,7,yes
IH-LUB-L-5030-SEMI-DRY-LUBRICANT,Molykote L-5030 Semi-Dry Lubricant,molykote-dispersions,MOLYKOTE® L-5030 Semi-Dry Lubricant,https://www.dupont.com/products/molykote-l-5030-lubricant.html,yes,6,7,yes
IH-LUB-L-8030-LUBRICANT,Molykote L-8030 Lubricant,molykote-dispersions,MOLYKOTE® L-8030 Lubricant,https://www.dupont.com/products/molykote-l-8030-lubricant.html,yes,6,7,yes
IH-LUB-211-FLUID-12-500-CST,"Molykote 211 Fluid 12,500 cSt",molykote-oils,"MOLYKOTE® 211 Fluid 12,500 cSt",https://www.dupont.com/products/molykote-211-fluid-12500-cst.html,yes,5,6,yes
IH-LUB-211-FLUID-13-000-CST,"Molykote 211 Fluid 13,000 cSt",molykote-oils,"MOLYKOTE® 211 Fluid 13,000 cSt",https://www.dupont.com/products/molykote-211-fluid-13000-cst.html,yes,5,6,yes
IH-LUB-211-FLUID-15-000-CST,"Molykote 211 Fluid 15,000 cSt",molykote-oils,"MOLYKOTE® 211 Fluid 15,000 cSt",https://www.dupont.com/products/molykote-211-fluid-15000-cst.html,yes,5,6,yes
IH-LUB-211-FLUID-2-000-CST,"Molykote 211 Fluid 2,000 cSt",molykote-oils,"MOLYKOTE® 211 Fluid 2,000 cSt",https://www.dupont.com/products/molykote-211-fluid-2000-cst.html,yes,5,6,yes
IH-LUB-211-FLUID-22-000-CST,"Molykote 211 Fluid 22,000 cSt",molykote-oils,"MOLYKOTE® 211 Fluid 22,000 cSt",https://www.dupont.com/products/molykote-211-fluid-22000-cst.html,yes,5,6,yes
IH-LUB-211-FLUID-3-000-CST,"Molykote 211 Fluid 3,000 cSt",molykote-oils,"MOLYKOTE® 211 Fluid 3,000 cSt",https://www.dupont.com/products/molykote-211-fluid-3000-cst.html,yes,5,6,yes
IH-LUB-211-FLUID-30-000-CST,"Molykote 211 Fluid 30,000 cSt",molykote-oils,"MOLYKOTE® 211 Fluid 30,000 cSt",https://www.dupont.com/products/molykote-211-fluid-30000-cst.html,yes,3,6,yes
IH-LUB-211-FLUID-4-000-CST,"Molykote 211 Fluid 4,000 cSt",molykote-oils,"MOLYKOTE® 211 Fluid 4,000 cSt",https://www.dupont.com/products/molykote-211-fluid-4000-cst.html,yes,5,6,yes
IH-LUB-211-FLUID-5-000-CST,"Molykote 211 Fluid 5,000 cSt",molykote-oils,"MOLYKOTE® 211 Fluid 5,000 cSt",https://www.dupont.com/products/molykote-211-fluid-5000-cst.html,yes,5,6,yes
IH-LUB-211-FLUID-9-000-CST,"Molykote 211 Fluid 9,000 cSt",molykote-oils,"MOLYKOTE® 211 Fluid 9,000 cSt",https://www.dupont.com/products/molykote-211-fluid-9000-cst.html,yes,5,6,yes
IH-LUB-316-SILICONE-RELEASE-FLUID,Molykote 316 Silicone Release Fluid,molykote-dispersions,MOLYKOTE® 316 Silicone Release Fluid,https://www.dupont.com/products/molykote-316-silicone-release-fluid.html,yes,6,7,yes
IH-LUB-CO-220-OIL-MULTI-PURPOSE-CHAIN-OIL,Molykote CO-220 Oil Multi-Purpose Chain Oil,molykote-oils,MOLYKOTE® CO-220 Oil Multi-Purpose Chain Oil,https://www.dupont.com/products/molykote-co-220-oil-multi-purpose-chain-oil.html,yes,4,5,yes
IH-LUB-L-0268-PROCESS-GAS-OIL,Molykote L-0268 Process Gas Oil,molykote-oils,MOLYKOTE® L-0268 Process Gas Oil,https://www.dupont.com/products/molykote-l-0268-process-gas-oil.html,yes,6,6,no
IH-LUB-L-1115FM-SYNTHETIC-GEAR-OIL-ISO-150,Molykote L-1115FM Synthetic Gear Oil - ISO 150,molykote-oils,MOLYKOTE® L-1115FM Synthetic Gear Oil - ISO 150,https://www.dupont.com/products/molykote-l-1115fm-synthetic-gear-oil-iso-150.html,yes,7,6,no
IH-LUB-L-1122FM-SYNTHETIC-GEAR-OIL-ISO-220,Molykote L-1122FM Synthetic Gear Oil - ISO 220,molykote-oils,MOLYKOTE® L-1122FM Synthetic Gear Oil - ISO 220,https://www.dupont.com/products/molykote-l-1122fm-synthetic-gear-oil-iso-220.html,yes,7,6,no
IH-LUB-L-1146FM-SYNTHETIC-EXTREME-TEMP-GEAR-OIL-ISO,Molykote L-1146FM Synthetic Extreme Temp Gear Oil - ISO 460,molykote-oils,MOLYKOTE® L-1146FM Synthetic Extreme Temp Gear Oil - ISO 460,https://www.dupont.com/products/molykote-l-1146fm-synthetic-extreme-temp-gear-oil-iso-460.html,yes,7,6,no
IH-LUB-L-1210-SYNTHETIC-COMPRESSOR-AND-VACUUM-PUMP,Molykote L-1210 Synthetic Compressor and Vacuum Pump Oil,molykote-oils,MOLYKOTE® L-1210 Synthetic Compressor and Vacuum Pump Oil,https://www.dupont.com/products/molykote-l-1210-synthetic-compressor-and-vacuum-pump-oil.html,yes,6,5,yes
IH-LUB-L-1232-SYNTHETIC-COMPRESSOR-OIL,Molykote L-1232 Synthetic Compressor Oil,molykote-oils,MOLYKOTE® L-1232 Synthetic Compressor Oil,https://www.dupont.com/products/molykote-l-1232-synthetic-compressor-oil.html,yes,7,6,no
IH-LUB-L-1232FM-SYNTHETIC-COMPRESSOR-OIL,Molykote L-1232FM Synthetic Compressor Oil,molykote-oils,MOLYKOTE® L-1232FM Synthetic Compressor Oil,https://www.dupont.com/products/molykote-l-1232fm-synthetic-compressor-oil.html,yes,7,6,no
IH-LUB-L-1246-SYNTHETIC-COMPRESSOR-OIL,Molykote L-1246 Synthetic Compressor Oil,molykote-oils,MOLYKOTE® L-1246 Synthetic Compressor Oil,https://www.dupont.com/products/molykote-l-1246-synthetic-compressor-oil.html,yes,6,5,no
IH-LUB-L-1246FM-SYNTHETIC-COMPRESSOR-OIL,Molykote L-1246FM Synthetic Compressor Oil,molykote-oils,MOLYKOTE® L-1246FM Synthetic Compressor Oil,https://www.dupont.com/products/molykote-l-1246fm-synthetic-compressor-oil.html,yes,7,6,no
IH-LUB-L-1268-SYNTHETIC-COMPRESSOR-OIL,Molykote L-1268 Synthetic Compressor Oil,molykote-oils,MOLYKOTE® L-1268 Synthetic Compressor Oil,https://www.dupont.com/products/molykote-l-1268-synthetic-compressor-oil.html,yes,7,6,no
IH-LUB-L-1468-FM-SYNTHETIC-FREEZER-CHAIN-OIL,Molykote L-1468 FM Synthetic Freezer Chain Oil,molykote-oils,MOLYKOTE® L-1468 FM Synthetic Freezer Chain Oil,https://www.dupont.com/products/molykote-l-1468-fm-synthetic-freezer-chain-oil.html,yes,6,6,no
IH-LUB-L-1510-PROCESS-GAS-OIL,Molykote L-1510 Process Gas Oil,molykote-oils,MOLYKOTE® L-1510 Process Gas Oil,https://www.dupont.com/products/molykote-l-1510-process-gas-oil.html,yes,7,6,no
IH-LUB-L-1568-PROCESS-GAS-OIL,Molykote L-1568 Process Gas Oil,molykote-oils,MOLYKOTE® L-1568 Process Gas Oil,https://www.dupont.com/products/molykote-l-1568-process-gas-oil.html,yes,7,6,no
IH-LUB-L-1605FM-SYNTHETIC-BARRIER-FLUID,Molykote L-1605FM Synthetic Barrier Fluid,molykote-oils,MOLYKOTE® L-1605FM Synthetic Barrier Fluid,https://www.dupont.com/products/molykote-l-1605fm-synthetic-barrier-fluid.html,yes,7,6,no
IH-LUB-L-1668FM-SYNTHETIC-BLEND-VACUUM-PUMP-OIL,Molykote L-1668FM Synthetic Blend Vacuum Pump Oil,molykote-oils,MOLYKOTE® L-1668FM Synthetic Blend Vacuum Pump Oil,https://www.dupont.com/products/molykote-l-1668fm-synthetic-blend-vacuum-pump-oil.html,yes,7,6,yes
IH-LUB-L-4611-SYNTHETIC-RECIPROCATING-COMPRESSOR-OI,Molykote L-4611 Synthetic Reciprocating Compressor Oil,molykote-oils,MOLYKOTE® L-4611 Synthetic Reciprocating Compressor Oil,https://www.dupont.com/products/molykote-l-4611-synthetic-reciprocating-compressor-oil.html,yes,6,5,no
IH-LUB-L-4646-SYNTHETIC-HIGH-TEMP-COMPRESSOR-OIL,Molykote L-4646 Synthetic High Temp Compressor Oil,molykote-oils,MOLYKOTE® L-4646 Synthetic High Temp Compressor Oil,https://www.dupont.com/products/molykote-l-4646-synthetic-high-temp-compressor-oil.html,yes,7,6,no
IH-LUB-M-GEAR-OIL-ADDITIVE,Molykote M Gear Oil Additive,molykote-dispersions,MOLYKOTE® M Gear Oil Additive,https://www.dupont.com/products/molykote-m-gear-oil-additive.html,yes,6,7,yes
IH-LUB-112-HIGH-PERFORMANCE-LUBE-SEALANT,Molykote 112 High Performance Lube/ Sealant,molykote-compounds,MOLYKOTE® 112 High Performance Lube/ Sealant,https://www.dupont.com/products/molykote-112-high-performance-lube-sealant.html,yes,8,7,yes
IH-LUB-7415-THINNER,Molykote 7415 Thinner,molykote-anti-friction-coatings,MOLYKOTE® 7415 Thinner,https://www.dupont.com/products/molykote-7415-thinner.html,yes,4,6,yes
IH-LUB-D-PASTE,Molykote D Paste,molykote-pastes,MOLYKOTE® D Paste,https://www.dupont.com/products/molykote-d-paste.html,yes,8,7,yes
IH-LUB-E-PASTE,Molykote E Paste,molykote-pastes,MOLYKOTE® E Paste,https://www.dupont.com/products/molykote-e-paste.html,yes,7,7,yes
IH-LUB-G-N-METAL-ASSEMBLY-PASTE,Molykote G-N Metal Assembly Paste,molykote-pastes,MOLYKOTE® G-N Metal Assembly Paste,https://www.dupont.com/products/molykote-g-n-metal-assembly-paste.html,yes,6,7,yes
IH-LUB-HTP-PASTE,Molykote HTP Paste,molykote-pastes,MOLYKOTE® HTP Paste,https://www.dupont.com/products/molykote-htp-paste.html,yes,7,7,yes
IH-LUB-P-1042-ADHESIVE-GREASE-PASTE,Molykote P-1042 Adhesive Grease Paste,molykote-pastes,MOLYKOTE® P-1042 Adhesive Grease Paste,https://www.dupont.com/products/molykote-p-1042-adhesive-grease-paste.html,yes,6,7,yes
IH-LUB-P-3300-PASTE,Molykote P-3300 Paste,molykote-pastes,MOLYKOTE® P-3300 Paste,https://www.dupont.com/products/molykote-p-3300-paste.html,yes,6,7,yes
IH-LUB-P-3700-ANTI-SEIZE-PASTE,Molykote P-3700 Anti-seize Paste,molykote-pastes,MOLYKOTE® P-3700 Anti-seize Paste,https://www.dupont.com/products/molykote-p-3700-anti-seize-paste.html,yes,6,7,yes
IH-LUB-U-PASTE,Molykote U Paste,molykote-pastes,MOLYKOTE® U Paste,https://www.dupont.com/products/molykote-u-paste.html,yes,8,7,yes
IH-LUB-U-N-PASTE,Molykote U-N Paste,molykote-pastes,MOLYKOTE® U-N Paste,https://www.dupont.com/products/molykote-u-n-paste.html,yes,8,7,yes
IH-LUB-7365-LUBOLID-EXP-ADDITIVE-POWDER,Molykote 7365 Lubolid (EXP) Additive Powder,molykote-dispersions,MOLYKOTE® 7365 Lubolid (EXP) Additive Powder,https://www.dupont.com/products/molykote-7365-lubolid-exp-additive-powder.html,yes,6,6,yes
IH-LUB-7375-LUBOLID-ADDITIVE-POWDER,Molykote 7375 Lubolid Additive Powder,molykote-dispersions,MOLYKOTE® 7375 Lubolid Additive Powder,https://www.dupont.com/products/molykote-7375-lubolid-additive-powder.html,yes,6,6,yes
IH-LUB-D-55-LUBOLID-ADDITIVE-POWDER,Molykote D-55 Lubolid Additive Powder,molykote-dispersions,MOLYKOTE® D-55 Lubolid Additive Powder,https://www.dupont.com/products/molykote-d-55-lubolid-additive-powder.html,yes,6,6,yes
